,SPTR_Index#@#PX_LAST
0,[0.0027241]
1,[-0.02114412]
2,[0.03143157]
3,[0.01555085]
4,[0.02040499]
5,[0.04277723]
6,[-0.0065412]
7,[0.00290218]
8,[0.01854968]
9,[0.0034144]
10,[0.01533487]
11,[0.01172782]
12,[0.01279262]
13,[0.02430875]
14,[0.03380209]
15,[0.01649844]
16,[0.03425366]
17,[0.00045994]
18,[-0.01810634]
19,[-0.00880387]
20,[0.02207802]
21,[0.0037434]
22,[0.01785903]
23,[0.04303281]
24,[0.01703885]
