,SPTR_Index#@#PX_LAST
0,[2509.04568814 2427.75267631 2372.12641635 2334.23344723 2308.47162197]
1,[2481.44579576 2387.77882286 2324.43456484 2281.73517882 2253.03484779]
2,[2514.06606974 2451.72143732 2411.34913495 2385.29618462 2368.53786419]
3,[2508.08640538 2449.25516976 2411.79046054 2388.02577131 2373.00827434]
4,[2446.86694391 2352.50873351 2290.80506978 2250.67901078 2224.65833914]
5,[2338.76176071 2174.23798057 2063.12162601 1988.65605113 1939.04118338]
6,[2244.59272762 2021.13955383 1869.59209021 1767.46657137 1699.01910884]
7,[2318.79562234 2161.26591647 2060.01344234 1995.25429842 1954.01941713]
8,[2296.72108014 2133.46755977 2030.3122959  1965.45166693 1924.85094606]
9,[2341.52898015 2218.08776558 2143.08484429 2097.68290636 2070.31265532]
10,[2422.06805893 2357.69949807 2321.25157835 2300.76265753 2289.3661897 ]
11,[2389.63629024 2310.10836046 2264.15074447 2237.67601203 2222.4942353 ]
12,[2325.2097159  2211.66353674 2145.23127748 2106.45332166 2083.88080642]
13,[2312.83224054 2198.19643003 2131.96026651 2093.78055695 2071.84048355]
14,[2221.38190972 2058.42995817 1964.48978424 1910.51044212 1879.60751519]
15,[2106.03790714 1883.46421175 1756.9382128  1685.3004267  1644.91545523]
16,[2068.68607416 1837.04874525 1709.60008276 1639.70794541 1601.55397065]
17,[1801.14321754 1438.32995278 1246.12219044 1144.74985554 1091.65664585]
18,[1856.68211575 1563.63539893 1423.91193593 1357.37827975 1326.03257303]
19,[2020.97624353 1845.37034365 1773.64759742 1744.5472531  1733.16964571]
20,[1962.94177358 1747.94363142 1652.43768805 1609.77307047 1590.8444108 ]
21,[1967.79128748 1778.61988048 1701.09137817 1669.18920021 1656.28627638]
22,[1956.31708641 1843.32892083 1809.91508703 1801.01604174 1799.0586096 ]
23,[1855.41582196 1646.23603889 1533.51808885 1461.74757458 1411.30610818]
24,[1668.17575976 1412.31267425 1258.54743384 1153.74346745 1076.56758495]
