,SPTR_Index#@#PX_LAST
0,[-0.02499307  0.0685143  -0.00351877]
1,[0.02832765 0.03735307 0.0168008 ]
2,[0.00156075 0.02863998 0.02371232]
3,[-0.01203187  0.01885359  0.01903783]
4,[0.01249182 0.00754528 0.00467794]
5,[0.02004174 0.02768094 0.02850183]
6,[0.0041218  0.01939837 0.02169264]
7,[0.01334022 0.01007353 0.00887296]
8,[-0.00161001  0.01487974  0.02540236]
9,[0.00550398 0.01246018 0.01637363]
10,[0.01781705 0.02028341 0.0202617 ]
11,[0.0083457  0.00583803 0.00742545]
12,[0.01467361 0.0055688  0.01030847]
13,[-0.00662742  0.00217758  0.01194426]
14,[0.00146954 0.02075617 0.02783798]
15,[0.01049667 0.02307272 0.02357817]
16,[0.03078014 0.02596408 0.03363918]
17,[0.02772735 0.02119686 0.01982708]
18,[ 0.07867233 -0.03190764 -0.05259043]
19,[-0.05317605 -0.00820244  0.00373383]
20,[-0.01489841  0.01072895  0.03092477]
21,[0.00616232 0.01142239 0.00759795]
22,[0.01088766 0.01617102 0.01638556]
23,[0.01428043 0.02378323 0.02624572]
24,[0.0274106  0.03413726 0.03409011]
