rmse,params,iteration,train_time
37.866274034285496,"{'batch_size': 64, 'n_a': 291, 'n_epochs': 130, 'n_lags': 11}",54,164.29290435265375
36.19417367321974,"{'batch_size': 54, 'n_a': 299, 'n_epochs': 72, 'n_lags': 23}",55,135.74334299161637
29.75204890821172,"{'batch_size': 47, 'n_a': 284, 'n_epochs': 53, 'n_lags': 28}",56,119.67535049392882
42.767770513491485,"{'batch_size': 17, 'n_a': 282, 'n_epochs': 119, 'n_lags': 34}",57,550.0745251145854
31.31763156701644,"{'batch_size': 46, 'n_a': 44, 'n_epochs': 138, 'n_lags': 1}",58,19.684350413158427
42.62425192379748,"{'batch_size': 39, 'n_a': 111, 'n_epochs': 64, 'n_lags': 14}",59,27.308605570328837
38.39284781573045,"{'batch_size': 30, 'n_a': 261, 'n_epochs': 90, 'n_lags': 26}",60,247.81061747710373
33.44078314555951,"{'batch_size': 51, 'n_a': 85, 'n_epochs': 77, 'n_lags': 5}",61,30.37163490351395
32.11982606255753,"{'batch_size': 22, 'n_a': 239, 'n_epochs': 29, 'n_lags': 19}",62,75.85129472013432
33.88155468135744,"{'batch_size': 60, 'n_a': 197, 'n_epochs': 20, 'n_lags': 22}",63,36.415169915422666
33.43183713584833,"{'batch_size': 54, 'n_a': 122, 'n_epochs': 36, 'n_lags': 32}",64,31.390162652744948
41.8955334903292,"{'batch_size': 74, 'n_a': 249, 'n_epochs': 157, 'n_lags': 16}",65,257.66631264366424
32.17068090425864,"{'batch_size': 68, 'n_a': 286, 'n_epochs': 51, 'n_lags': 28}",66,172.3163876801773
35.335780350183214,"{'batch_size': 65, 'n_a': 298, 'n_epochs': 47, 'n_lags': 25}",67,143.31215323781544
32.06849854749959,"{'batch_size': 59, 'n_a': 271, 'n_epochs': 67, 'n_lags': 28}",68,143.72908493829982
30.389275762806395,"{'batch_size': 77, 'n_a': 257, 'n_epochs': 56, 'n_lags': 36}",69,184.87578478197884
33.300834974283504,"{'batch_size': 49, 'n_a': 209, 'n_epochs': 83, 'n_lags': 30}",70,215.2028194808454
34.152155899553414,"{'batch_size': 37, 'n_a': 221, 'n_epochs': 11, 'n_lags': 34}",71,54.52405519367312
32.66645558752456,"{'batch_size': 30, 'n_a': 278, 'n_epochs': 38, 'n_lags': 27}",72,161.40877295775954
30.829214929018832,"{'batch_size': 56, 'n_a': 242, 'n_epochs': 75, 'n_lags': 32}",73,191.7691097675097
38.864387581508964,"{'batch_size': 47, 'n_a': 293, 'n_epochs': 94, 'n_lags': 40}",74,344.2957482878601
32.18931162735033,"{'batch_size': 72, 'n_a': 266, 'n_epochs': 47, 'n_lags': 13}",75,89.42274719767738
33.075585691745005,"{'batch_size': 67, 'n_a': 178, 'n_epochs': 25, 'n_lags': 24}",76,53.63592542133483
33.71136445374335,"{'batch_size': 63, 'n_a': 287, 'n_epochs': 17, 'n_lags': 21}",77,51.26804524414001
33.092139910566395,"{'batch_size': 79, 'n_a': 250, 'n_epochs': 105, 'n_lags': 29}",78,328.7965825475294
34.370262827854766,"{'batch_size': 44, 'n_a': 233, 'n_epochs': 85, 'n_lags': 36}",79,358.6757539016544
33.32093908332175,"{'batch_size': 33, 'n_a': 162, 'n_epochs': 62, 'n_lags': 43}",80,158.18558763430337
39.79611095198874,"{'batch_size': 40, 'n_a': 194, 'n_epochs': 53, 'n_lags': 38}",81,223.61614728665882
33.030369298158426,"{'batch_size': 60, 'n_a': 182, 'n_epochs': 32, 'n_lags': 8}",82,39.130441262897875
32.20498817979739,"{'batch_size': 70, 'n_a': 299, 'n_epochs': 70, 'n_lags': 25}",83,261.7744995446028
36.09458828253276,"{'batch_size': 54, 'n_a': 225, 'n_epochs': 42, 'n_lags': 33}",84,164.6509380791449
34.98183409361711,"{'batch_size': 84, 'n_a': 204, 'n_epochs': 99, 'n_lags': 20}",85,203.9169952907505
28.846339719320802,"{'batch_size': 75, 'n_a': 274, 'n_epochs': 91, 'n_lags': 31}",86,345.9145819843634
42.06634456314525,"{'batch_size': 91, 'n_a': 216, 'n_epochs': 114, 'n_lags': 37}",87,442.5065154363692
40.296819091326114,"{'batch_size': 86, 'n_a': 258, 'n_epochs': 120, 'n_lags': 41}",88,565.4968367747188
29.40348507557807,"{'batch_size': 98, 'n_a': 273, 'n_epochs': 91, 'n_lags': 31}",89,300.46445125616447
