DATES,AMERICAS,EMEA,ASIA,BRASIL,PA
2001-01-31,0.07938875938875944,-0.009722837412955765,0.0950861518825783,0.12729124236252543,0.04428954897546067
2001-04-30,-0.10373555495834463,-0.11438061857484338,-0.16456876456876446,-0.18168913290864508,-0.04717609772612119
2001-07-31,-0.046787320625401474,-0.12808518037075978,-0.07226562500000011,-0.14236150934740222,0.07228277220141077
2001-10-31,-0.16059812832121878,-0.10244138677605896,-0.09593984962406021,-0.1988900404533449,-0.12261807584725304
2002-01-31,0.1685448899834039,0.1377154283175166,0.30222887558216915,0.1595860111843752,0.2006324977245897
2002-04-30,0.055996518113825555,0.04085067604009751,0.10026823349086711,0.11144101346001567,0.03212275175724577
2002-07-31,-0.32987700383956264,-0.15447016465501062,-0.1048293475737172,-0.4669311098518578,-0.1820371407049135
2002-10-31,0.014388838534248327,0.05376105493390804,-0.09045519387887424,0.09861807137433565,0.007286444355147026
2003-01-31,0.009493721379222109,0.055269781106799476,0.017181150638055254,0.04771646577463229,0.006341561104134863
2003-04-30,0.20587026616931148,0.0839596735112742,-0.07169890664423895,0.29801044910021646,0.13200915075410724
2003-07-31,0.09871154627554302,0.1283256046354655,0.26930917327293336,0.07676044885347189,0.1310191125674358
2003-10-31,0.15173458675319718,0.16018210634264585,0.1630383059719247,0.2328764537078991,0.10931185510209374
2004-01-31,0.15404534766891453,0.12236998941969013,0.10064951669820488,0.16250401972344308,0.17964670884931877
2004-04-30,-0.06491944531705796,-0.01398501264856089,-0.03350216068026579,-0.12145162352631222,0.03855154730855381
2004-07-31,0.054731143575665664,0.018933343014812642,-0.10841346153846154,0.1058400179923531,-0.0036296924679920517
2004-10-31,0.15798478395398807,0.160214498227361,0.10444863844702068,0.1763836537679313,0.16437792738007317
2005-01-31,0.14362170318443312,0.12398398951743328,0.14686065813885363,0.1739681661537753,0.13155498861281023
2005-04-30,0.006239735017420367,-0.018529565791570946,-0.02243507875691786,0.016601706313753573,0.006496438746019795
2005-07-31,0.189835207987598,0.12802631701047695,0.12511431433175124,0.1603024684204426,0.22214858651634195
2005-10-31,0.1359112407016254,0.07680189536811177,-0.049814212726428275,0.2167345002372092,0.06690688794418276
2006-01-31,0.27054668196035414,0.3017750801211654,0.25280052140616727,0.3340037075800175,0.2358532271685807
2006-04-30,0.05864105470381209,0.07561775036459095,0.08704275727523969,0.057626631934117434,0.046426542738259746
2006-07-31,-0.0856906720763364,-0.13622487812463357,-0.09703278296243123,-0.10842076682892765,-0.06561319410345723
2006-10-31,0.09444490097789449,0.028478214181942185,0.09871472108122448,0.05516885094349866,0.147615712140317
2007-01-31,0.14197757972113578,0.10611862611125611,0.09418716835504104,0.14456154817429856,0.12142389074634896
2007-04-30,0.09176682534255587,0.07961088500341496,0.06797641353466322,0.1067474165297071,0.08866984455950666
2007-07-31,0.14562568880270277,0.035090696825225365,0.20738409143682768,0.21101581825283167,0.1024804707168554
2007-10-31,0.2133759133680282,0.15601802625433514,0.21896702780092747,0.3299625744982497,0.05316713456578048
2008-01-31,-0.10785220550167762,-0.14911728361897603,-0.22961222915644075,-0.10648842813622517,-0.0997802941376158
2008-04-30,0.14597476763497563,0.07880799218057422,0.08043963045555924,0.18382157537925714,0.09590282718450527
2008-07-31,-0.08131626452416663,-0.053951865898768436,-0.1771234809713359,-0.08236156651279203,-0.08165389888096664
2008-10-31,-0.4988572232485303,-0.4802558804241578,-0.41506488188170254,-0.5330916510301861,-0.40366341132813344
2009-01-31,-0.06517036982493607,-0.19949434831877944,-0.056795309355036294,-0.06897051446407676,-0.022284064897735156
2009-04-30,0.2447090793625788,0.296626954623588,0.2902672109853406,0.3049881462678705,0.14644351887957097
2009-07-31,0.27840641673159605,0.24672244699492674,0.28051630532484806,0.2693320488118174,0.31685238861087295
2009-10-31,0.1504496784033711,0.10962054285956047,0.04267864663765275,0.1840550220644841,0.08458780212336192
2010-01-31,0.021209537972521897,0.06747221264291614,0.011848660293523494,0.0015109198296781035,0.0763318635525041
2010-04-30,0.08971212488281699,0.06247747915657098,0.10392548236859622,0.08430709213373566,0.09409759432608
2010-07-31,0.0042023508032555945,-0.003066919660738243,-0.013211186113789797,-0.011867150871906706,0.059819260216911196
2010-10-31,0.093835954326142,0.08123453024739868,0.12000390892211477,0.06549566206798474,0.16674715338608181
2011-01-31,-0.031431154836992214,0.014109490951698778,0.005802286013437019,-0.03953280384435687,-0.025939714406329473
2011-04-30,0.04435086380382591,0.1432747599561368,0.0712643678160918,0.04510697201244129,0.04383482301910502
2011-07-31,-0.06561284766022613,-0.08063697337054543,-0.03188517288849302,-0.07832019042806426,-0.03365708081691887
2011-10-31,-0.08932545039802608,-0.15915672154507743,-0.14010581125446975,-0.0998738987785206,-0.06030705872218023
2012-01-31,0.035527701383279986,0.02854350069452205,0.01784976046302389,0.04201823450964293,0.026267912530594906
2012-04-30,-0.0315418715320972,0.01218977565281354,0.019902042766694494,-0.08530255996898872,0.07716088466239368
2012-07-31,-0.09107591145999261,-0.0642437314326576,-0.06657608695652173,-0.12758479193854344,-0.033636687420777966
2012-10-31,0.022707007262428913,0.034626937999546525,0.05619133664608755,0.013875234691556493,0.03780237621755389
2013-01-31,0.07965662082428548,0.06789686066341605,0.07351788047998098,0.06654828087093412,0.0946460261998916
2013-04-30,-0.041137078731579124,-0.06325103042639713,-0.01224020009296356,-0.032404815978151924,-0.06284009675113433
2013-07-31,-0.16514558427043657,-0.06768093018509458,-0.06697889122932821,-0.20333168750967223,-0.11801807563690703
