,SPTR_Index#@#PX_LAST,SBMT_Index#@#PX_LAST,PEN_Curncy#@#PX_LAST,M2USSNQ_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,MIMUTURN_Index#@#PX_LAST,EUSCEMU_Index#@#PX_LAST,CSI_BARC_Index#@#PX_LAST,SPBLPGPT_Index#@#PX_LAST,UYU_Curncy#@#PX_LAST,MXCPCHNG_Index#@#PX_LAST,DJUSRET_Index#@#PX_LAST,SPX_Index#@#PX_LAST,PRUSTOT_Index#@#PX_LAST,MXAP_Index#@#PX_LAST,HG1_COMDTY#@#PX_LAST,NDUEEGFL_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,NAPMPMI_Index#@#PX_LAST,USMMMNCH_Index#@#PX_LAST,SPE35CUN_Index#@#PX_LAST,JNMBYOY_Index#@#PX_LAST,NFP_PCH_Index#@#PX_LAST,MXCCYOY_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,GT5_GOVT#@#PX_LAST,EUESEMU_Index#@#PX_LAST,MXEF_Index#@#PX_LAST,RU10VATR_Index#@#PX_LAST,IPSA_Index#@#PX_LAST,FDTRFTRL_Index#@#PX_LAST,BFCIUS_Index#@#PX_LAST,USGG10YR_INDEX#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,PRTIPMEX_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,M1CXBLRL_Index#@#PX_LAST,RAG_Index#@#PX_LAST,JNWSDYOY_Index#@#PX_LAST,XAU_Curncy#@#PX_LAST,EWW_US_Equity#@#PX_LAST,USHBMIDX_Index#@#PX_LAST,INJCSP_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,CORRRMIN_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,IMP1YOY%_Index#@#PX_LAST,LPXDITU_Index#@#PX_LAST,MIMUEURN_Index#@#PX_LAST,EUCCEMU_Index#@#PX_LAST,EWJ_US_EQUITY#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,CONSCURR_Index#@#PX_LAST,GJGB5_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,DVGTR_Index#@#PX_LAST,MXJP_Index#@#PX_LAST
10,1828.42,799.176,3.5285,1259.67,0.3,323.24,24.4,9.11,1199.7,12.425,0.86,225.29,1314.95,66.9,93.31,84.1,95.438,2448.33,3.4,48.5,-15.0,1274.77,5.7,211.0,8.11,572.17,5.4270000000000005,113.8,326.36,471.201,1086.6,6.5,-1.144,5.468,47.1,4.61,4.8,198.13,526.086,-0.2,270.45,14.25,63.0,2295.0,98.409,12.0,97.652,4.7,156.85,492.346,-0.5,47.0,183.1,116.9,0.94,125.0,1015.37,836.54
11,1837.36,811.9910000000001,3.525,1255.93,0.1,359.28,24.1,9.34,1208.41,12.505,1.08,241.35,1320.28,67.0,89.55,84.3,100.0,2487.61,3.4,43.9,-21.0,1362.27,-1.1,98.0,7.85,590.75,4.976,113.7,333.79,494.80800000000005,1084.4,6.5,-1.155,5.112,42.7,4.62,9.1,193.45,512.356,-0.2,272.25,13.3125,57.0,2378.0,100.0,12.0,100.0,3.2,169.35,525.826,0.4,44.25,183.3,110.5,0.96,321.0,1052.34,809.54
12,1902.55,824.6010000000001,3.5335,1273.51,0.3,389.728,27.5,7.4,1280.64,12.575,0.55,243.46,1366.01,67.2,91.94,84.55,114.52,2535.52,3.7,42.3,-77.0,1362.69,-5.6,-56.0,7.26,567.18,4.768,114.3,379.02,496.711,1138.43,5.5,-0.593,5.114,42.3,4.37,2.6,222.62,548.068,-1.8,265.85,15.35,52.0,2440.0,102.514,12.0,113.758,2.8,173.4,527.992,0.6,44.0,183.9,107.7,0.805,249.0,1007.78,814.47
13,1729.07,829.154,3.5205,1168.01,0.3,228.96400000000003,21.5,7.37,1291.75,12.615,-0.07,239.3,1239.94,67.1,87.7,81.0,104.319,2320.95,3.5,42.1,-76.0,1247.45,3.4,1.0,6.89,521.22,4.6560000000000015,111.2,349.02,482.899,1096.2,5.5,-0.7440000000000001,4.896,37.8,4.24,2.4,207.41,456.11800000000005,-1.8,267.15,14.26,58.0,2506.0,93.8689,12.0,104.842,0.2,165.95,483.952,-0.6,42.12,184.4,105.8,0.63,94.0,988.02,784.51
14,1619.54,834.534,3.523,1092.01,0.2,196.107,19.2,7.62,1271.92,12.8,0.63,240.71,1160.33,67.2,82.34,76.4,97.793,2168.12,2.9,43.1,-90.0,1143.84,1.2,-66.0,6.84,481.08,4.557,109.5,313.14,465.835,1062.44,5.0,-1.521,4.917,39.9,3.92,1.6,200.73,406.842,-1.9,257.95,13.99,60.0,2620.0,87.5162,11.5,94.497,-1.6,150.03,445.228,-0.2,40.96,184.7,103.4,0.5429999999999999,100.0,940.6,810.7
15,1745.39,835.4110000000002,3.584,1173.76,0.2,271.939,22.7,7.62,1196.92,12.97,0.5,247.29,1249.46,66.9,86.82,76.65,104.05,2327.94,3.3,42.7,-136.0,1237.67,1.4,-327.0,6.8,516.06,4.886,109.0,327.71,488.68,1105.66,4.5,-0.851,5.337999999999999,38.2,3.82,1.7,219.94,458.068,-2.0,264.05,15.01,59.0,2728.0,93.8525,11.5,99.155,-0.7,164.1,475.626,-1.0,44.88,185.1,98.0,0.519,156.0,969.97,853.29
16,1757.09,840.584,3.632,1184.63,0.1,237.617,17.3,6.78,1311.58,13.11,0.23,253.29,1255.82,66.7,86.57,75.75,107.11,2297.6,3.6,41.3,-141.0,1181.07,5.1,-76.0,6.71,516.65,4.914,106.3,330.54,499.658,1208.26,4.0,-0.52,5.381,35.1,3.68,1.4,238.18,452.3730000000001,-1.9,265.85,16.36,58.0,2926.0,92.7504,11.5,100.303,-0.8,165.49,453.742,-2.4,43.56,185.3,102.2,0.389,113.0,993.92,818.73
17,1714.32,841.7639999999999,3.5075,1152.68,0.4,227.06,18.8,7.3,1347.0,13.64,0.24,268.21,1224.42,66.7,82.74,70.45,106.008,2225.29,3.2,43.2,-146.0,1141.65,7.6,-238.0,6.7,499.15,4.95,105.4,322.89,488.576,1169.2,3.75,-0.08199999999999999,5.412000000000001,35.7,3.52,-2.4,241.85,443.557,-2.1,270.85,16.85,59.0,2959.0,89.8821,11.5,98.209,-2.6,160.17,435.631,-3.1,40.92,186.0,101.6,0.365,226.0,966.76,808.09
18,1697.44,857.431,3.49,1160.11,0.2,190.813,18.2,7.35,1331.68,13.45,-0.26,262.08,1211.23,66.8,77.47,68.25,100.02,2195.55,2.7,43.5,-133.0,1134.79,8.0,-159.0,6.51,498.12,4.526,104.2,301.67,487.537,1201.15,3.75,-0.306,5.0539999999999985,37.2,3.47,5.8,233.82,430.361,-2.4,266.65,15.91,57.0,3056.0,88.4466,11.0,91.959,-4.1,149.43,435.51,-5.6,37.6,186.4,98.6,0.411,154.0,992.75,748.85
19,1591.18,865.2310000000001,3.4795,1081.62,0.2,185.807,13.5,7.35,1334.71,13.37,0.59,270.25,1133.58,66.5,75.87,67.85,96.529,2089.84,2.7,46.3,-150.0,1110.58,9.0,-189.0,6.42,485.07,4.38,101.0,298.17,468.009,1239.25,3.5,-0.47,4.832,41.3,3.36,5.3,227.75,395.435,-2.5,274.4,15.38,59.0,3213.0,84.3524,10.0,91.037,-4.4,151.26,425.53,-8.6,36.56,186.7,101.2,0.465,107.0,954.27,695.71
