,SPTR_Index#@#PX_LAST,SPX_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,DVGTR_Index#@#PX_LAST,IMP1YOY%_Index#@#PX_LAST,JPY_CURNCY#@#PX_LAST,INJCJC_Index#@#PX_LAST,CPI_XYOY_Index#@#PX_LAST,GT2_GOVT#@#PX_LAST,JNCPTXFF_Index#@#PX_LAST,NDDUWI_Index#@#PX_LAST,IBOV_Index#@#PX_LAST,NDDUJN_Index#@#PX_LAST,PRCPI_Index#@#PX_LAST,CONSPXMD_Index#@#PX_LAST,BIGPIGP1_Index#@#PX_LAST,RU10GRTR_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,BRL_Curncy#@#PX_LAST,TPX_Index#@#PX_LAST,CNPINSYO_Index#@#PX_LAST,INJCSP_Index#@#PX_LAST,JNCPT_Index#@#PX_LAST,BCOMTR_Index#@#PX_LAST,MXEF_Index#@#PX_LAST,BFCIUS_Index#@#PX_LAST,IBOXHY_Index#@#PX_LAST,DXY_CURNCY#@#PX_LAST,GJGB10_Index#@#PX_LAST,JNVHSYOY_Index#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,W_1_Comdty#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,MXCCYOY_Index#@#PX_LAST,SAARTOTL_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,IBOXIG_Index#@#PX_LAST,NAPMPRIC_Index#@#PX_LAST,CONSEXP_Index#@#PX_LAST,MXCCCHNG_Index#@#PX_LAST,MIMUEURN_Index#@#PX_LAST,RAG_Index#@#PX_LAST,MXN_Curncy#@#PX_LAST
17,-0.009846469737271879,1211.23,3.75,992.75,-4.1,125.0,388.0,2.7,3.7969999999999997,-1.1,2195.55,13754.2,3191.27,82.17,2.6,0.71,413.434,91.959,2.4665,1190.31,3.2,3056.0,-1.1,169.69400000000005,301.67,-0.306,106.70100000000001,117.18,1.339,5.8,37.2,278.5,0.2,6.51,16.17,154.0,2.7,88.4466,113.803,39.9,88.4,0.15,435.51,430.361,9.1415
18,-0.06260015081534542,1133.58,3.5,954.27,-4.4,118.79,402.0,2.7,3.6289999999999996,-1.2,2089.84,12840.6,3111.44,81.92,2.7,0.86,379.626,91.037,2.5635,1103.67,3.8,3213.0,-1.0,169.62,298.17,-0.47,107.831,113.42,1.379,5.3,41.3,278.0,0.2,6.42,16.05,107.0,2.7,84.3524,115.135,35.0,85.2,0.33,425.53,395.435,9.204
19,-0.08075139204866832,1040.94,3.0,936.39,-5.6,119.56,517.0,2.6,2.8510000000000004,-1.2,1905.41,10635.7,2820.74,81.97,2.8,0.11,341.723,76.934,2.67,1023.42,3.9,3385.0,-1.2,158.178,251.4,-1.4809999999999999,99.8292,113.41,1.415,-4.1,41.5,270.75,0.2,6.4,16.09,60.0,2.6,76.6253,115.615,36.6,73.5,0.76,378.219,354.05800000000005,9.514
20,0.019067608310715082,1059.78,2.5,929.21,-7.4,122.42,483.0,2.6,2.423,-1.0,1941.8,11364.7,2814.93,82.0,1.0,0.3,359.652,81.705,2.6965,1059.37,3.4,3600.0,-1.1,150.67,266.86,-1.541,102.725,114.86,1.315,-7.0,35.6,293.25,0.2,6.12,21.76,39.0,2.1,78.2419,118.67399999999999,33.3,75.5,0.25,392.065,373.455,9.259
21,0.07670839538971408,1139.45,2.0,974.73,-8.8,123.48,465.0,2.8,2.841,-1.0,2056.38,12931.7,2845.47,81.6,0.4,0.78,394.202,90.229,2.4985,1050.22,3.1,3619.0,-1.3,151.834,294.43,-0.977,107.009,116.13,1.364,-9.3,36.4,281.5,0.4,5.7,17.78,78.0,1.9,83.0309,117.63600000000001,32.0,76.6,0.24,408.63800000000003,408.769,9.224
22,0.008760561274082201,1148.08,1.75,987.57,-9.1,131.66,421.0,2.7,3.0260000000000002,-1.0,2069.1,13577.6,2653.44,81.53,1.8,0.16,393.461,97.385,2.3105,1032.14,2.6,3474.0,-1.5,148.843,317.4,-0.758,105.459,116.75,1.368,-7.6,39.1,289.0,0.2,5.36,16.2,129.0,1.6,83.791,116.77600000000001,33.2,82.3,0.24,417.37800000000004,409.35400000000004,9.1575
23,-0.014595609581341429,1130.2,1.75,981.02,-8.9,134.68,414.0,2.6,3.159,-1.2,2006.2,12721.5,2445.72,81.1,1.9,0.47,386.51,100.671,2.4130000000000003,971.77,2.2,3558.0,-1.7,147.842,327.75,-0.516,106.335,120.21,1.485,-2.6,41.0,286.0,0.2,5.1,16.26,152.0,1.1,81.4777,117.59100000000001,43.9,91.3,0.5,398.094,401.47,9.1475
24,-0.019281035509449373,1106.73,1.75,997.06,-8.3,133.36,398.0,2.6,3.0610000000000004,-0.9,1988.56,14033.3,2547.23,81.07,2.1,-0.16,370.47,102.303,2.3635,1013.8,2.5,3538.0,-1.7,151.673,332.77,-0.633,104.135,119.16,1.53,-5.9,43.8,267.25,0.2,5.05,17.04,171.0,1.1,80.8553,118.316,41.5,87.2,0.71,397.099,383.82599999999996,9.119
25,0.037607296480228085,1147.39,1.75,1014.94,-5.6,132.73,479.0,2.4,3.7110000000000003,-0.7,2076.16,13254.5,2693.31,81.51,2.7,0.17,383.284,108.425,2.325,1060.19,2.6,3723.0,-1.2,167.18200000000004,351.43,-0.36,107.135,118.62,1.395,-8.7,46.6,285.0,0.1,4.85,16.81,191.0,1.5,84.4773,114.695,51.9,92.7,0.41,419.458,398.219,9.035
26,-0.06063088645645333,1076.92,1.75,969.42,-3.6,128.54,414.0,2.5,3.2239999999999998,-1.1,2005.59,13085.1,2850.1,82.1,2.8,0.06,352.00199999999984,109.12,2.3609999999999998,1082.06,2.5,3700.0,-1.3,167.183,352.84,-0.494,104.64299999999999,115.19,1.38,-2.7,46.6,261.75,0.3,4.72,17.39,165.0,1.6,81.7697,116.189,60.3,89.1,0.36,418.12199999999996,367.23699999999997,9.395
