,SPTR_Index#@#PX_LAST,GT5_GOVT#@#PX_LAST,TPX_Index#@#PX_LAST,MXCPYOY_Index#@#PX_LAST,MXAP_Index#@#PX_LAST,FDTRFTRL_Index#@#PX_LAST,BCOMTR_Index#@#PX_LAST,CPUPAXFE_Index#@#PX_LAST,W_1_Comdty#@#PX_LAST,NDUEACWF_Index#@#PX_LAST,BIGPIGP1_Index#@#PX_LAST,NAPMPRIC_Index#@#PX_LAST,NDUEEGF_Index#@#PX_LAST,SAARTOTL_Index#@#PX_LAST,nwhlnyhi_index#@#PX_LAST,INJCSP_Index#@#PX_LAST,MN40MUE_Index#@#PX_LAST,GJGB10_Index#@#PX_LAST,CPI_XYOY_Index#@#PX_LAST,DXY_CURNCY#@#PX_LAST,CPI_YOY_Index#@#PX_LAST,CONSPXMD_Index#@#PX_LAST,NAPMEMPL_Index#@#PX_LAST,MXEU_Index#@#PX_LAST,MXN_Curncy#@#PX_LAST,CORRRMIN_Index#@#PX_LAST,DJUSRET_Index#@#PX_LAST,FDTR_Index#@#PX_LAST,LD01TRUU_Index#@#PX_LAST,VIX_INDEX#@#PX_LAST,CNPINSYO_Index#@#PX_LAST,M2US000$_Index#@#PX_LAST,CPUPXCHG_Index#@#PX_LAST,MXCCCHNG_Index#@#PX_LAST
81,0.019020159289107275,4.445,1603.03,4.09,136.33,5.25,329.14,207.8,502.0,136.878,0.71,53.5,302.892,16.18,293.0,2517.0,480.29,1.655,2.6,82.95,2.0,3.0,49.2,122.77,10.9823,7.25,754.53,5.25,1115.58,10.91,2.1,825.44,0.1,0.26
82,0.014026689673406478,4.694,1681.07,4.05,140.53,5.25,314.02299999999997,208.1,501.0,139.933,0.18,47.5,316.531,16.64,129.0,2455.0,510.1,1.685,2.6,83.65,2.5,2.9,49.8,127.34,10.8033,7.5,745.44,5.25,1116.41,11.56,2.6,837.1,0.1,0.4
83,0.015122613934212438,4.802,1721.96,3.98,140.66,5.25,314.684,208.6,467.5,141.325,0.32,53.6,313.189,16.44,267.0,2520.0,510.27,1.705,2.7,84.6,2.1,3.0,52.1,129.91,11.0242,7.75,808.16,5.25,1119.31,10.42,2.8,869.05,0.2,0.46
84,-0.0195611912454543,4.521,1752.74,4.11,144.25,5.25,325.281,209.135,474.5,140.58100000000002,0.11,62.5,311.33,16.82,37.0,2549.0,496.45,1.636,2.7,83.57,2.4,3.0,54.7,127.19,11.1619,8.0,783.74,5.25,1129.54,15.42,2.7,843.7,0.3,0.38
85,0.011186792782358346,4.537,1713.61,4.21,144.65,5.25,328.452,209.418,438.0,143.4,0.19,65.5,323.682,16.07,124.0,2499.0,523.61,1.659,2.5,82.93,2.8,3.0,52.8,130.32,11.0494,8.25,763.7,5.25,1133.87,14.64,2.6,863.1,0.1,0.29
86,0.044293038561533216,4.512,1701.0,3.99,146.21,5.25,332.246,209.747,485.5,149.766,-0.16,73.0,339.039,16.28,196.0,2486.0,525.87,1.66,2.3,81.447,2.6,3.3,52.7,134.71,10.9658,8.5,765.88,5.25,1138.35,14.22,2.5,896.04,0.2,0.19
87,0.03489773978594779,4.851,1755.68,3.95,150.22,5.25,332.676,210.058,517.0,154.219,-0.19,72.6,355.49699999999996,16.35,363.0,2480.0,523.07,1.7530000000000001,2.2,82.301,2.7,3.3,51.1,138.12,10.7416,8.75,767.64,5.25,1136.64,13.05,2.9,928.3,0.1,0.2
88,-0.01661234360214492,4.923,1774.88,3.98,152.9,5.25,328.029,210.392,582.0,153.766,0.31,67.1,372.161,15.88,105.0,2501.0,554.86,1.879,2.2,81.92,2.7,3.4,55.7,137.3,10.8084,9.0,698.33,5.25,1141.38,16.23,3.2,902.88,0.2,0.29
89,-0.03100609430129375,4.563,1706.18,4.14,155.97,5.25,334.836,210.773,630.0,151.417,0.15,67.4,391.79699999999997,15.55,29.0,2537.0,573.3,1.8,2.2,80.77,2.4,3.4,50.4,132.48,10.985999999999999,9.25,639.58,5.25,1148.48,23.52,3.8,873.57,0.2,0.3
90,0.01498841443230714,4.246,1608.25,4.03,152.16,5.25,322.678,211.11900000000003,767.0,150.998,0.27,62.9,383.471,16.11,34.0,2565.0,550.57,1.6130000000000002,2.1,80.791,2.0,3.2,50.7,131.19,11.0303,9.25,669.44,5.25,1153.32,23.38,4.7,884.81,0.2,0.27
